~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:11:55 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
0{'name': 'svchost.exe', 'pid': 14012, 'username': None}
0{'name': 'EPDCtrl.exe', 'pid': 14464, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 14496, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 14696, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 14704, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'vds.exe', 'pid': 14764, 'username': None}
0{'name': 'tposd.exe', 'pid': 14816, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 15132, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 15136, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'sihost.exe', 'pid': 15572, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 15592, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 15628, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 15636, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 15680, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 15756, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'taskhostw.exe', 'pid': 15808, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'shtctky.exe', 'pid': 15908, 'username': None}
0{'name': 'PowerMgr.exe', 'pid': 15916, 'username': 'QAMR-ACCOUNTS\\u1203282'}
