~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:13:17 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
276{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 20144}
277{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'conhost.exe', 'pid': 20404}
278{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 20476}
279{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 20828}
280{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'UserOOBEBroker.exe', 'pid': 20848}
281{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 21292}
282{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe', 'pid': 21300}
283{'username': None, 'name': 'AppProvisioningPlugin.exe', 'pid': 21312}
284{'username': None, 'name': 'audiodg.exe', 'pid': 21388}
285{'username': None, 'name': 'nxtbsm.exe', 'pid': 21404}
286{'username': None, 'name': 'nxtcod.exe', 'pid': 21428}
287{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 21552}
288{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AMDRSServ.exe', 'pid': 21624}
289{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Notepad.exe', 'pid': 22368}
290{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'cncmd.exe', 'pid': 22444}
291{'username': None, 'name': 'svchost.exe', 'pid': 22644}
292{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'concentr.exe', 'pid': 22664}
293{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'wfcrun32.exe', 'pid': 22720}
294{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 22788}
