@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'name': 'SecurityHealthSystray.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 11412, 'vms': 2.63671875}
{'name': 'CSFalconContainer.exe', 'username': None, 'pid': 11424, 'vms': 3.01171875}
{'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 11452, 'vms': 1.5625}
{'name': 'GoToAssistCustomerAttendedApp.exe', 'username': None, 'pid': 12012, 'vms': 11.64453125}
{'name': 'AppProvisioningPlugin.exe', 'username': None, 'pid': 12132, 'vms': 42.09765625}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12444, 'vms': 7.0625}
{'name': 'svchost.exe', 'username': None, 'pid': 12460, 'vms': 6.37890625}
{'name': 'amdpmfserviceuser.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12464, 'vms': 1.7890625}
{'name': 'enterprise_companion.exe', 'username': None, 'pid': 12472, 'vms': 4.5703125}
{'name': 'StartMenuExperienceHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12496, 'vms': 77.97265625}
{'name': 'EPDCtrl.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12572, 'vms': 6.671875}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 12600, 'vms': 3.76171875}
{'name': 'conhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12608, 'vms': 5.83203125}
{'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 12764, 'vms': 1.75390625}
{'name': 'kvoop.exe', 'username': None, 'pid': 12928, 'vms': 2.609375}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12980, 'vms': 2.94921875}
{'name': 'AppVStreamingUX.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12988, 'vms': 77.0546875}
{'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 13044, 'vms': 1.75}
{'name': 'DAX3API.exe', 'username': None, 'pid': 13080, 'vms': 3.1640625}
{'name': 'enterprise_companion.exe', 'username': None, 'pid': 13232, 'vms': 3.26171875}
{'name': 'tposd.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13260, 'vms': 2.7578125}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13432, 'vms': 2.69921875}
{'name': 'kvoop.exe', 'username': None, 'pid': 13464, 'vms': 2.6015625}
{'name': 'Notepad.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13504, 'vms': 87.546875}
{'name': 'GoToAssistRemoteControl.exe', 'username': None, 'pid': 13536, 'vms': 9.34765625}
{'name': 'kvoop.exe', 'username': None, 'pid': 13560, 'vms': 2.53125}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13576, 'vms': 7.91015625}
{'name': 'kvoop.exe', 'username': None, 'pid': 13616, 'vms': 2.61328125}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13688, 'vms': 450.39453125}
{'name': 'ms-teams.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13728, 'vms': 79.70703125}
{'name': 'taskhostw.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13736, 'vms': 9.3984375}
{'name': 'kvoop.exe', 'username': None, 'pid': 13804, 'vms': 2.52734375}
{'name': 'PowerMgr.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13828, 'vms': 4.12890625}
{'name': 'kvoop.exe', 'username': None, 'pid': 13860, 'vms': 2.609375}
{'name': 'SystemSettings.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13920, 'vms': 60.734375}
{'name': 'kvoop.exe', 'username': None, 'pid': 13988, 'vms': 2.53125}
{'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 14260, 'vms': 1.7421875}
{'name': 'shtctky.exe', 'username': None, 'pid': 14304, 'vms': 3.05078125}
{'name': 'RtkAudUService64.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14344, 'vms': 5.3828125}
{'name': 'svchost.exe', 'username': None, 'pid': 14524, 'vms': 3.62890625}
{'name': 'Dserui.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14640, 'vms': 3.3046875}
{'name': 'ShellExperienceHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14688, 'vms': 60.38671875}
{'name': 'nxtusm.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14956, 'vms': 4.80078125}
{'name': 'SearchHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15140, 'vms': 186.25}
{'name': 'Lenovo.Modern.ImController.exe', 'username': None, 'pid': 15196, 'vms': 35.984375}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15232, 'vms': 18.828125}
{'name': 'svchost.exe', 'username': None, 'pid': 15288, 'vms': 4.14453125}
{'name': 'explorer.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15316, 'vms': 382.71875}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15348, 'vms': 2.890625}
{'name': 'LenovoVantage-(VantageCoreAddin).exe', 'username': None, 'pid': 15572, 'vms': 39.40625}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15600, 'vms': 26.97265625}
{'name': 'GoToAssistCrashHandler.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15784, 'vms': 2.078125}
{'name': 'svchost.exe', 'username': None, 'pid': 15944, 'vms': 5.3125}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15980, 'vms': 4.55859375}
{'name': 'kvoop.exe', 'username': None, 'pid': 16016, 'vms': 2.5}
{'name': 'Microsoft.Notes.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16152, 'vms': 69.12890625}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16240, 'vms': 51.66015625}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16580, 'vms': 8.578125}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16772, 'vms': 3.78125}
{'name': 'Widgets.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16784, 'vms': 12.3515625}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16936, 'vms': 11.6015625}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16988, 'vms': 11.7421875}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16996, 'vms': 6.82421875}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17068, 'vms': 9.28125}
{'name': 'LenovoVantage-(GenericMessagingAddin).exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17072, 'vms': 24.20703125}
{'name': 'ctfmon.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17260, 'vms': 8.7421875}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17348, 'vms': 704.984375}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17404, 'vms': 11.6484375}
{'name': 'svchost.exe', 'username': None, 'pid': 17476, 'vms': 1.8046875}
{'name': 'svchost.exe', 'username': None, 'pid': 17528, 'vms': 4.23828125}
{'name': 'CsSystemTray_7.25.19706.0.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17576, 'vms': 2.59375}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17888, 'vms': 51.35546875}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17992, 'vms': 3.09765625}
{'name': 'CSFalconContainer.exe', 'username': None, 'pid': 18184, 'vms': 11.3515625}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18232, 'vms': 21.16015625}
{'name': 'TextInputHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18472, 'vms': 141.47265625}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18484, 'vms': 17.62109375}
{'name': 'SystemSettingsBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18552, 'vms': 10.49609375}
