@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'pc-print-deploy-client.exe', 'username': None, 'pid': 9876, 'vms': 17.609375}
{'name': 'conhost.exe', 'username': None, 'pid': 10160, 'vms': 5.80859375}
{'name': 'svchost.exe', 'username': None, 'pid': 10280, 'vms': 5.44140625}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 10292, 'vms': 40.31640625}
{'name': 'CSFalconContainer.exe', 'username': None, 'pid': 10304, 'vms': 11.5078125}
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 10456, 'vms': 8.546875}
{'name': 'sihost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 10764, 'vms': 8.1953125}
{'name': 'svchost.exe', 'username': None, 'pid': 10784, 'vms': 5.74609375}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 10884, 'vms': 33.859375}
{'name': 'dllhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 10940, 'vms': 5.23046875}
{'name': 'kvoop.exe', 'username': None, 'pid': 10976, 'vms': 2.62890625}
{'name': 'GoToAssistLoggerProcess.exe', 'username': None, 'pid': 11008, 'vms': 11.6875}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 11132, 'vms': 23.55078125}
{'name': 'EndPointClassifier.exe', 'username': None, 'pid': 11180, 'vms': 301.734375}
{'name': 'SenseTVM.exe', 'username': None, 'pid': 11196, 'vms': 3.12890625}
{'name': 'CSFalconContainer.exe', 'username': None, 'pid': 11300, 'vms': 11.5078125}
{'name': 'SecurityHealthSystray.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 11412, 'vms': 2.63671875}
{'name': 'CSFalconContainer.exe', 'username': None, 'pid': 11424, 'vms': 2.71484375}
{'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 11452, 'vms': 1.5625}
{'name': 'GoToAssistCustomerAttendedApp.exe', 'username': None, 'pid': 12012, 'vms': 11.64453125}
{'name': 'AppProvisioningPlugin.exe', 'username': None, 'pid': 12132, 'vms': 42.09765625}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12444, 'vms': 7.2421875}
{'name': 'svchost.exe', 'username': None, 'pid': 12460, 'vms': 6.4453125}
{'name': 'amdpmfserviceuser.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12464, 'vms': 1.7890625}
{'name': 'enterprise_companion.exe', 'username': None, 'pid': 12472, 'vms': 4.56640625}
{'name': 'StartMenuExperienceHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12496, 'vms': 77.9453125}
{'name': 'EPDCtrl.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12572, 'vms': 6.65625}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 12600, 'vms': 3.76171875}
{'name': 'conhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12608, 'vms': 5.83203125}
{'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 12764, 'vms': 1.75390625}
{'name': 'kvoop.exe', 'username': None, 'pid': 12928, 'vms': 2.609375}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12980, 'vms': 2.8125}
{'name': 'AppVStreamingUX.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 12988, 'vms': 77.0625}
{'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 13044, 'vms': 1.75}
{'name': 'DAX3API.exe', 'username': None, 'pid': 13080, 'vms': 3.1640625}
{'name': 'enterprise_companion.exe', 'username': None, 'pid': 13232, 'vms': 3.26171875}
{'name': 'tposd.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13260, 'vms': 2.75}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13432, 'vms': 2.69921875}
{'name': 'kvoop.exe', 'username': None, 'pid': 13464, 'vms': 2.6015625}
{'name': 'Notepad.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13504, 'vms': 82.7109375}
{'name': 'GoToAssistRemoteControl.exe', 'username': None, 'pid': 13536, 'vms': 9.203125}
{'name': 'kvoop.exe', 'username': None, 'pid': 13560, 'vms': 2.53125}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13576, 'vms': 7.8828125}
{'name': 'kvoop.exe', 'username': None, 'pid': 13616, 'vms': 2.61328125}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13688, 'vms': 431.16796875}
{'name': 'ms-teams.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13728, 'vms': 78.76171875}
{'name': 'taskhostw.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13736, 'vms': 9.23828125}
{'name': 'kvoop.exe', 'username': None, 'pid': 13804, 'vms': 2.52734375}
{'name': 'PowerMgr.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13828, 'vms': 4.12890625}
{'name': 'kvoop.exe', 'username': None, 'pid': 13860, 'vms': 2.609375}
{'name': 'SystemSettings.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 13920, 'vms': 60.734375}
{'name': 'kvoop.exe', 'username': None, 'pid': 13988, 'vms': 2.53125}
{'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 14260, 'vms': 1.7421875}
{'name': 'shtctky.exe', 'username': None, 'pid': 14304, 'vms': 3.05078125}
{'name': 'RtkAudUService64.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14344, 'vms': 5.2578125}
{'name': 'svchost.exe', 'username': None, 'pid': 14524, 'vms': 3.703125}
{'name': 'Dserui.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14640, 'vms': 3.3046875}
{'name': 'ShellExperienceHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14688, 'vms': 60.38671875}
{'name': 'nxtusm.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 14956, 'vms': 4.80859375}
{'name': 'SearchHost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15140, 'vms': 186.25}
{'name': 'Lenovo.Modern.ImController.exe', 'username': None, 'pid': 15196, 'vms': 37.6796875}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15232, 'vms': 18.828125}
{'name': 'svchost.exe', 'username': None, 'pid': 15288, 'vms': 4.203125}
{'name': 'explorer.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15316, 'vms': 375.48828125}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15348, 'vms': 2.890625}
{'name': 'LenovoVantage-(VantageCoreAddin).exe', 'username': None, 'pid': 15572, 'vms': 38.66796875}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15600, 'vms': 26.97265625}
{'name': 'GoToAssistCrashHandler.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15784, 'vms': 2.078125}
{'name': 'svchost.exe', 'username': None, 'pid': 15944, 'vms': 5.23046875}
