~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 01:58:09 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1) {'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
251) {'pid': 18176, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
252) {'pid': 18208, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
253) {'pid': 18232, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Microsoft.Notes.exe'}
254) {'pid': 18592, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe'}
255) {'pid': 18660, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': '1E.Client.Interaction.exe'}
256) {'pid': 18752, 'username': None, 'name': 'uhssvc.exe'}
257) {'pid': 18764, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe'}
258) {'pid': 18812, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Widgets.exe'}
259) {'pid': 18864, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe'}
260) {'pid': 18896, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
261) {'pid': 19072, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe'}
262) {'pid': 19096, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RdrCEF.exe'}
263) {'pid': 19168, 'username': None, 'name': 'conhost.exe'}
264) {'pid': 19188, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
265) {'pid': 19196, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'LocationNotificationWindows.exe'}
266) {'pid': 19248, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'snipaste.exe'}
267) {'pid': 19320, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
268) {'pid': 19360, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
269) {'pid': 19448, 'username': None, 'name': 'svchost.exe'}
270) {'pid': 19544, 'username': None, 'name': 'kvoop.exe'}
271) {'pid': 19872, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe'}
272) {'pid': 19876, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ctfmon.exe'}
273) {'pid': 19884, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
274) {'pid': 19984, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe'}
275) {'pid': 20028, 'username': None, 'name': 'conhost.exe'}
276) {'pid': 20044, 'username': None, 'name': 'LenovoVantage-(VantageCoreAddin).exe'}
277) {'pid': 20096, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
278) {'pid': 20144, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
279) {'pid': 20404, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'conhost.exe'}
280) {'pid': 20476, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
281) {'pid': 20828, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
282) {'pid': 20848, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'UserOOBEBroker.exe'}
283) {'pid': 21292, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
284) {'pid': 21300, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe'}
285) {'pid': 21312, 'username': None, 'name': 'AppProvisioningPlugin.exe'}
286) {'pid': 21388, 'username': None, 'name': 'audiodg.exe'}
287) {'pid': 21404, 'username': None, 'name': 'nxtbsm.exe'}
288) {'pid': 21428, 'username': None, 'name': 'nxtcod.exe'}
289) {'pid': 21552, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
290) {'pid': 21624, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AMDRSServ.exe'}
291) {'pid': 22444, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'cncmd.exe'}
292) {'pid': 22644, 'username': None, 'name': 'svchost.exe'}
