~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvallous Infosystem ~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1 )  {'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
237 )  {'name': 'PanGPA.exe', 'pid': 16096, 'username': 'QAMR-ACCOUNTS\\u1203282'}
238 )  {'name': 'Lenovo.Modern.ImController.exe', 'pid': 16196, 'username': None}
239 )  {'name': 'AppVStreamingUX.exe', 'pid': 16212, 'username': 'QAMR-ACCOUNTS\\u1203282'}
240 )  {'name': 'svchost.exe', 'pid': 16224, 'username': None}
241 )  {'name': 'conhost.exe', 'pid': 16428, 'username': 'QAMR-ACCOUNTS\\u1203282'}
242 )  {'name': 'msedgewebview2.exe', 'pid': 16472, 'username': 'QAMR-ACCOUNTS\\u1203282'}
243 )  {'name': 'GoToAssistCustomerAttendedAppUi.exe', 'pid': 16588, 'username': 'QAMR-ACCOUNTS\\u1203282'}
244 )  {'name': 'msedge.exe', 'pid': 16860, 'username': 'QAMR-ACCOUNTS\\u1203282'}
245 )  {'name': 'chrome.exe', 'pid': 17036, 'username': 'QAMR-ACCOUNTS\\u1203282'}
246 )  {'name': 'RtkAudUService64.exe', 'pid': 17140, 'username': 'QAMR-ACCOUNTS\\u1203282'}
247 )  {'name': 'msedge.exe', 'pid': 17180, 'username': 'QAMR-ACCOUNTS\\u1203282'}
248 )  {'name': 'dllhost.exe', 'pid': 17340, 'username': 'QAMR-ACCOUNTS\\u1203282'}
249 )  {'name': 'svchost.exe', 'pid': 17348, 'username': None}
250 )  {'name': 'nxtusm.exe', 'pid': 17416, 'username': 'QAMR-ACCOUNTS\\u1203282'}
251 )  {'name': 'kvoop.exe', 'pid': 17424, 'username': None}
252 )  {'name': 'wepsvc.exe', 'pid': 17516, 'username': None}
253 )  {'name': 'WidgetService.exe', 'pid': 17576, 'username': 'QAMR-ACCOUNTS\\u1203282'}
254 )  {'name': 'svchost.exe', 'pid': 17596, 'username': 'QAMR-ACCOUNTS\\u1203282'}
255 )  {'name': 'svchost.exe', 'pid': 17660, 'username': None}
256 )  {'name': 'nxtray.exe', 'pid': 17676, 'username': 'QAMR-ACCOUNTS\\u1203282'}
257 )  {'name': 'GoToAssistCrashHandler.exe', 'pid': 18032, 'username': 'QAMR-ACCOUNTS\\u1203282'}
258 )  {'name': 'chrome.exe', 'pid': 18072, 'username': 'QAMR-ACCOUNTS\\u1203282'}
259 )  {'name': 'msedgewebview2.exe', 'pid': 18104, 'username': 'QAMR-ACCOUNTS\\u1203282'}
260 )  {'name': 'ApplicationFrameHost.exe', 'pid': 18164, 'username': 'QAMR-ACCOUNTS\\u1203282'}
261 )  {'name': 'chrome.exe', 'pid': 18176, 'username': 'QAMR-ACCOUNTS\\u1203282'}
262 )  {'name': 'msedgewebview2.exe', 'pid': 18208, 'username': 'QAMR-ACCOUNTS\\u1203282'}
263 )  {'name': 'Microsoft.Notes.exe', 'pid': 18232, 'username': 'QAMR-ACCOUNTS\\u1203282'}
264 )  {'name': 'RuntimeBroker.exe', 'pid': 18592, 'username': 'QAMR-ACCOUNTS\\u1203282'}
265 )  {'name': '1E.Client.Interaction.exe', 'pid': 18660, 'username': 'QAMR-ACCOUNTS\\u1203282'}
266 )  {'name': 'uhssvc.exe', 'pid': 18752, 'username': None}
267 )  {'name': 'svchost.exe', 'pid': 18764, 'username': 'QAMR-ACCOUNTS\\u1203282'}
268 )  {'name': 'Widgets.exe', 'pid': 18812, 'username': 'QAMR-ACCOUNTS\\u1203282'}
