~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 15:01:06 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'status': 'running', 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
240{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'WidgetService.exe', 'pid': 17576}
241{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 17596}
242{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 17660}
243{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'nxtray.exe', 'pid': 17676}
244{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'GoToAssistCrashHandler.exe', 'pid': 18032}
245{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 18072}
246{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 18104}
247{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ApplicationFrameHost.exe', 'pid': 18164}
248{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 18176}
249{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 18208}
250{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Microsoft.Notes.exe', 'pid': 18232}
251{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 18592}
252{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': '1E.Client.Interaction.exe', 'pid': 18660}
253{'status': 'running', 'username': None, 'name': 'uhssvc.exe', 'pid': 18752}
254{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 18764}
255{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Widgets.exe', 'pid': 18812}
256{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 18864}
257{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 18896}
258{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 19072}
259{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RdrCEF.exe', 'pid': 19096}
260{'status': 'running', 'username': None, 'name': 'conhost.exe', 'pid': 19168}
261{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 19188}
262{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'LocationNotificationWindows.exe', 'pid': 19196}
263{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'snipaste.exe', 'pid': 19248}
264{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 19320}
265{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 19360}
266{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe', 'pid': 19872}
267{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ctfmon.exe', 'pid': 19876}
